x,y
65,67
63,64
63,62
68,71
72,72
68,66
76,62
67,42
71,71
70,73
72,44
69,70
70,68
66,74
71,43
62,64
69,63
72,65
73,41
72,60
72,61
65,45
67,65
62,71
70,72
69,60
67,69
70,67
66,64
70,62
62,63
65,71
63,66
71,70
66,42
75,40
68,75
71,73
68,70
73,68
72,48
66,63
71,47
70,61
73,46
73,65
73,61
72,64
65,72
64,69
67,67
73,62
70,39
63,68
71,74
76,63
73,39
65,43
68,41
63,63
63,61
72,46
71,45
67,64
65,69
72,67
72,62
71,42
68,40
73,66
75,71
66,73
65,70
66,68
73,40
70,74
65,44
73,63
73,38
66,46
70,43
69,41
70,38
63,65
71,69
66,67
70,64
66,62
69,71
71,72
67,66
75,62
70,42
72,71
72,66
67,73
71,44
64,70
69,68
65,74
72,43
70,63
72,38
67,43
74,41
71,60
66,45
76,64
68,65
69,72
68,69
63,67
65,64
69,62
66,71
74,72
66,66
74,70
65,42
66,40
69,75
72,73
74,44
67,70
72,68
71,48
64,41
67,63
72,47
67,61
74,65
75,41
74,61
71,64
69,65
64,72
69,69
68,67
68,62
63,71
71,75
64,42
74,74
73,73
74,39
66,43
65,41
64,63
64,61
71,46
75,65
72,45
74,64
62,62
75,72
66,69
73,67
71,62
74,42
67,40
68,39
72,40
65,68
69,74
64,44
74,63
71,39
65,46
63,43
70,41
69,38
65,61
64,65
64,60
72,69
73,45
69,64
65,62
70,71
70,66
73,71
69,42
70,40
71,66
65,75
68,73
63,70
68,68
68,74
73,43
67,44
71,63
71,38
64,46
68,43
71,41
75,64
65,65
68,72
73,69
64,67
64,64
64,62
67,71
73,72
65,66
73,70
68,42
65,40
70,75
69,73
73,44
70,70
71,68
68,63
73,47
68,61
71,65
73,60
71,61
70,65
63,72
70,60
70,69
69,67
67,62
64,71
64,66
72,75
72,70
73,74
67,75
74,73
75,39
66,41
65,63
69,61
74,46
73,64
66,72
63,69
74,62
73,42
64,73
69,39
71,40
64,68
72,74
75,63
72,39
64,43
67,41
66,61
74,45
68,64
69,66
71,67
74,71
72,42
69,40
74,66
66,75
65,73
66,70
67,68
74,40
67,74
74,43
66,44
72,63
74,38
72,41
75,61
64,45
66,65
67,72
92,126
99,127
94,122
94,117
90,119
93,125
90,129
98,118
97,116
90,113
92,130
98,127
99,131
95,122
97,117
93,119
90,128
96,125
93,121
97,123
98,121
93,130
97,124
99,129
95,120
93,115
96,121
98,120
96,123
96,118
96,126
90,114
99,130
90,122
97,128
89,125
92,120
92,115
91,121
93,116
90,132
89,126
91,114
91,122
91,124
93,117
89,112
89,129
89,130
96,122
98,125
96,124
96,117
96,119
95,125
92,129
97,121
100,132
92,113
96,131
98,124
98,119
97,131
97,122
93,124
96,120
95,121
99,120
95,123
93,118
93,126
91,131
98,128
93,120
91,115
94,123
94,116
91,132
90,126
92,114
90,131
92,124
92,119
95,128
91,126
93,114
90,130
97,125
95,117
102,129
95,119
92,128
91,129
99,123
97,118
93,132
91,113
91,130
99,124
97,119
98,122
94,119
89,128
94,121
98,123
94,118
99,121
94,126
96,130
99,128
99,122
94,120
97,120
95,116
95,118
95,126
102,130
89,131
91,119
96,128
92,121
89,132
92,118
