Mode,0,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0
Bounding Box Position,,,,,,,,,,
659,155,672,173,,,,,,,
X,Y,,,,,,,,,
669,169,,,,,,,,,
663,158,,,,,,,,,
661,163,,,,,,,,,
661,160,,,,,,,,,
672,160,,,,,,,,,
661,167,,,,,,,,,
665,165,,,,,,,,,
659,162,,,,,,,,,
667,170,,,,,,,,,
667,160,,,,,,,,,
666,162,,,,,,,,,
671,171,,,,,,,,,
663,161,,,,,,,,,
660,168,,,,,,,,,
672,169,,,,,,,,,
660,163,,,,,,,,,
660,156,,,,,,,,,
671,168,,,,,,,,,
662,158,,,,,,,,,
671,165,,,,,,,,,
660,167,,,,,,,,,
672,164,,,,,,,,,
664,170,,,,,,,,,
672,159,,,,,,,,,
662,169,,,,,,,,,
666,161,,,,,,,,,
663,163,,,,,,,,,
668,172,,,,,,,,,
672,173,,,,,,,,,
671,172,,,,,,,,,
666,160,,,,,,,,,
669,164,,,,,,,,,
667,159,,,,,,,,,
672,166,,,,,,,,,
672,161,,,,,,,,,
672,162,,,,,,,,,
665,169,,,,,,,,,
667,166,,,,,,,,,
670,173,,,,,,,,,
669,161,,,,,,,,,
670,168,,,,,,,,,
670,163,,,,,,,,,
659,165,,,,,,,,,
660,164,,,,,,,,,
669,165,,,,,,,,,
671,170,,,,,,,,,
663,160,,,,,,,,,
662,166,,,,,,,,,
670,167,,,,,,,,,
666,164,,,,,,,,,
662,161,,,,,,,,,
670,162,,,,,,,,,
666,159,,,,,,,,,
662,170,,,,,,,,,
671,167,,,,,,,,,
668,169,,,,,,,,,
664,158,,,,,,,,,
667,168,,,,,,,,,
662,165,,,,,,,,,
662,160,,,,,,,,,
662,155,,,,,,,,,
664,165,,,,,,,,,
660,162,,,,,,,,,
668,170,,,,,,,,,
668,160,,,,,,,,,
665,167,,,,,,,,,
663,164,,,,,,,,,
663,162,,,,,,,,,
661,168,,,,,,,,,
671,169,,,,,,,,,
665,158,,,,,,,,,
659,163,,,,,,,,,
661,156,,,,,,,,,
667,171,,,,,,,,,
672,168,,,,,,,,,
664,157,,,,,,,,,
672,163,,,,,,,,,
659,167,,,,,,,,,
661,162,,,,,,,,,
671,159,,,,,,,,,
669,170,,,,,,,,,
664,167,,,,,,,,,
661,169,,,,,,,,,
663,166,,,,,,,,,
665,161,,,,,,,,,
669,172,,,,,,,,,
672,172,,,,,,,,,
670,164,,,,,,,,,
666,170,,,,,,,,,
670,159,,,,,,,,,
671,161,,,,,,,,,
664,169,,,,,,,,,
668,166,,,,,,,,,
668,161,,,,,,,,,
663,168,,,,,,,,,
671,158,,,,,,,,,
669,163,,,,,,,,,
661,164,,,,,,,,,
672,170,,,,,,,,,
664,160,,,,,,,,,
659,166,,,,,,,,,
669,167,,,,,,,,,
667,164,,,,,,,,,
661,161,,,,,,,,,
665,159,,,,,,,,,
667,169,,,,,,,,,
669,166,,,,,,,,,
668,168,,,,,,,,,
668,163,,,,,,,,,
661,165,,,,,,,,,
661,155,,,,,,,,,
662,157,,,,,,,,,
663,165,,,,,,,,,
669,160,,,,,,,,,
668,167,,,,,,,,,
664,164,,,,,,,,,
664,162,,,,,,,,,
664,159,,,,,,,,,
662,168,,,,,,,,,
670,169,,,,,,,,,
662,163,,,,,,,,,
662,156,,,,,,,,,
670,171,,,,,,,,,
663,157,,,,,,,,,
671,163,,,,,,,,,
660,160,,,,,,,,,
660,155,,,,,,,,,
671,160,,,,,,,,,
662,167,,,,,,,,,
662,162,,,,,,,,,
670,170,,,,,,,,,
663,167,,,,,,,,,
665,162,,,,,,,,,
660,169,,,,,,,,,
664,166,,,,,,,,,
672,171,,,,,,,,,
664,161,,,,,,,,,
659,168,,,,,,,,,
667,158,,,,,,,,,
665,163,,,,,,,,,
659,156,,,,,,,,,
670,172,,,,,,,,,
672,165,,,,,,,,,
671,164,,,,,,,,,
663,170,,,,,,,,,
663,169,,,,,,,,,
665,166,,,,,,,,,
667,161,,,,,,,,,
664,168,,,,,,,,,
672,158,,,,,,,,,
664,163,,,,,,,,,
662,164,,,,,,,,,
662,159,,,,,,,,,
665,160,,,,,,,,,
660,166,,,,,,,,,
668,164,,,,,,,,,
668,162,,,,,,,,,
668,159,,,,,,,,,
671,166,,,,,,,,,
663,156,,,,,,,,,
671,162,,,,,,,,,
666,169,,,,,,,,,
670,166,,,,,,,,,
670,161,,,,,,,,,
669,168,,,,,,,,,
660,165,,,,,,,,,
659,164,,,,,,,,,
661,157,,,,,,,,,
670,165,,,,,,,,,
670,160,,,,,,,,,
661,166,,,,,,,,,
667,167,,,,,,,,,
665,164,,,,,,,,,
669,162,,,,,,,,,
663,159,,,,,,,,,
672,167,,,,,,,,,
